epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,370.067,0.67341,0.7109,1.03456,0.66408,0.65136,0.68141,0.3634,1.50934,1.16267,1.66198,4.59816e-05,4.59816e-05,4.59816e-05
90,374.172,0.69709,0.70648,1.03139,0.66259,0.64946,0.68368,0.36542,1.5217,1.1742,1.66249,4.24473e-05,4.24473e-05,4.24473e-05
91,408.15,0.67906,0.83263,1.04961,0.66087,0.6374,0.68345,0.36468,1.52454,1.19836,1.66554,3.8913e-05,3.8913e-05,3.8913e-05
92,412.298,0.65196,0.82483,1.03961,0.63343,0.63413,0.67579,0.35784,1.5342,1.21276,1.65713,3.53787e-05,3.53787e-05,3.53787e-05
93,416.318,0.65002,0.79387,1.02785,0.63063,0.63572,0.67584,0.36196,1.53688,1.22596,1.66457,3.18444e-05,3.18444e-05,3.18444e-05
94,420.373,0.65775,0.83789,1.04821,0.63472,0.63596,0.67447,0.36608,1.52899,1.21283,1.66864,2.83101e-05,2.83101e-05,2.83101e-05
95,424.407,0.65323,0.79625,1.04978,0.64202,0.63885,0.67474,0.36407,1.52525,1.19839,1.67198,2.47758e-05,2.47758e-05,2.47758e-05
96,428.521,0.6166,0.78494,1.02809,0.62779,0.63007,0.67297,0.36481,1.51722,1.19105,1.66207,2.12415e-05,2.12415e-05,2.12415e-05
97,432.583,0.60459,0.75374,0.98696,0.63094,0.62952,0.67183,0.3605,1.51726,1.19049,1.66341,1.77072e-05,1.77072e-05,1.77072e-05
98,436.594,0.60263,0.76696,1.01494,0.63685,0.62952,0.67081,0.3624,1.51429,1.18512,1.66301,1.41729e-05,1.41729e-05,1.41729e-05
99,440.621,0.61695,0.76511,1.02121,0.62532,0.63239,0.67193,0.36569,1.51245,1.17735,1.66582,1.06386e-05,1.06386e-05,1.06386e-05
100,444.61,0.61794,0.774,1.00644,0.62955,0.63403,0.67113,0.36613,1.51353,1.17845,1.66816,7.1043e-06,7.1043e-06,7.1043e-06
